sale_id,ganancia_total,n_productos,categoria_principal,n_categorias,precio_promedio,genero_principal,marca_principal,catalog_price_prom,desc_promedio,desc_maximo,hubo_descuento,tramo_descuento,channel,country,en_campana,campana_activa,age_range,mes,dia_semana,es_fin_semana,sale_date,costo_promedio,margen_pct
2,168.24,3,T-Shirts,3,36.656666666666666,Female,Tiva,36.656666666666666,0.0,0.0,0,sin_descuento,E-commerce,Germany,1,Mid-Season Clearance,36-45,5,4,0,2025-05-16,20.746666666666666,0.434
3,117.27000000000001,3,Pants,3,41.60666666666666,Female,Tiva,41.60666666666666,0.0,0.0,0,sin_descuento,App Mobile,Germany,0,Sin campaña,16-25,4,1,0,2025-04-22,27.233333333333334,0.3455
6,163.22,3,T-Shirts,2,52.28,Female,Tiva,52.28,0.0,0.0,0,sin_descuento,E-commerce,Portugal,1,Early Summer Deals,46-55,6,5,1,2025-06-14,31.076666666666668,0.4056
8,198.2,3,Sleepwear,3,45.870000000000005,Female,Tiva,45.870000000000005,0.0,0.0,0,sin_descuento,App Mobile,Italy,1,TIVA Week,16-25,5,0,0,2025-05-26,24.793333333333333,0.4595
10,133.04999999999998,3,Shoes,2,52.03,Female,Tiva,52.03,0.0,0.0,0,sin_descuento,E-commerce,France,1,TIVA Week,56-65,5,2,0,2025-05-21,29.756666666666664,0.4281
11,170.55,3,T-Shirts,2,45.38999999999999,Female,Tiva,45.38999999999999,0.0,0.0,0,sin_descuento,App Mobile,France,1,TIVA Week,26-35,5,1,0,2025-05-20,23.093333333333334,0.4912
13,327.88,3,Shoes,2,63.96,Female,Tiva,63.96,0.0,0.0,0,sin_descuento,App Mobile,France,0,Sin campaña,26-35,4,2,0,2025-04-16,34.983333333333334,0.453
15,170.83,3,Pants,3,47.826666666666675,Female,Tiva,47.826666666666675,0.0,0.0,0,sin_descuento,E-commerce,Italy,1,TIVA Week,56-65,5,1,0,2025-05-20,28.19,0.4106
17,218.66,3,T-Shirts,3,52.473333333333336,Female,Tiva,52.473333333333336,0.0,0.0,0,sin_descuento,E-commerce,Germany,0,Sin campaña,36-45,4,1,0,2025-04-29,29.913333333333338,0.4299
20,275.53,3,Dresses,3,49.080000000000005,Female,Tiva,49.080000000000005,0.0,0.0,0,sin_descuento,E-commerce,France,1,Spring Flash Sale,46-55,4,4,0,2025-04-04,28.703333333333333,0.4152
21,247.49,3,Pants,3,43.20333333333334,Female,Tiva,43.20333333333334,0.0,0.0,0,sin_descuento,E-commerce,Spain,1,Early Summer Deals,36-45,6,5,1,2025-06-14,23.743333333333336,0.4504
23,182.26,3,Shoes,2,42.71333333333333,Female,Tiva,42.71333333333333,0.0,0.0,0,sin_descuento,App Mobile,Portugal,0,Sin campaña,46-55,4,0,0,2025-04-28,25.626666666666665,0.4
24,24.84,3,Sleepwear,2,30.38,Female,Tiva,43.39666666666667,0.3,0.3,1,alto,App Mobile,Spain,1,Mid-Season Clearance,46-55,5,1,0,2025-05-13,24.113333333333333,0.2063
29,173.87,3,Sleepwear,2,54.71,Female,Tiva,54.71,0.0,0.0,0,sin_descuento,App Mobile,France,0,Sin campaña,36-45,4,4,0,2025-04-25,33.50333333333334,0.3876
31,157.91000000000003,3,Shoes,3,54.923333333333325,Female,Tiva,54.923333333333325,0.0,0.0,0,sin_descuento,App Mobile,Portugal,1,TIVA Week,56-65,5,1,0,2025-05-20,26.97666666666667,0.5088
32,221.98000000000002,3,Dresses,3,54.38333333333333,Female,Tiva,54.38333333333333,0.0,0.0,0,sin_descuento,App Mobile,Italy,0,Sin campaña,56-65,4,0,0,2025-04-21,30.366666666666664,0.4416
33,104.5,3,Dresses,2,47.56666666666667,Female,Tiva,47.56666666666667,0.0,0.0,0,sin_descuento,E-commerce,Germany,0,Sin campaña,26-35,4,2,0,2025-04-23,26.773333333333337,0.4371
35,235.93,3,Shoes,1,40.67333333333333,Female,Tiva,40.67333333333333,0.0,0.0,0,sin_descuento,E-commerce,Italy,0,Sin campaña,16-25,4,6,1,2025-04-27,20.223333333333333,0.5028
36,191.44,3,Shoes,2,52.53333333333333,Female,Tiva,52.53333333333333,0.0,0.0,0,sin_descuento,E-commerce,Italy,1,TIVA Week,26-35,5,2,0,2025-05-28,29.093333333333334,0.4462
37,238.84,3,Pants,3,55.20333333333334,Female,Tiva,55.20333333333334,0.0,0.0,0,sin_descuento,App Mobile,Spain,0,Sin campaña,46-55,4,1,0,2025-04-22,36.63666666666666,0.3363
38,210.06,3,T-Shirts,2,57.06333333333333,Female,Tiva,57.06333333333333,0.0,0.0,0,sin_descuento,E-commerce,France,1,TIVA Week,56-65,5,0,0,2025-05-26,28.713333333333335,0.4968
39,325.72,3,Dresses,2,52.573333333333345,Female,Tiva,52.573333333333345,0.0,0.0,0,sin_descuento,E-commerce,Portugal,1,Mid-Season Clearance,26-35,5,2,0,2025-05-14,24.560000000000002,0.5328
40,36.45,3,T-Shirts,3,37.806666666666665,Female,Tiva,54.00666666666666,0.3,0.3,1,alto,App Mobile,Italy,1,Mid-Season Clearance,36-45,5,1,0,2025-05-13,33.49666666666667,0.114
41,256.61,3,T-Shirts,2,49.60333333333333,Female,Tiva,49.60333333333333,0.0,0.0,0,sin_descuento,E-commerce,Netherlands,1,Easter Promotion,46-55,4,0,0,2025-04-14,23.126666666666665,0.5338
42,68.66,3,Shoes,2,48.88666666666666,Female,Tiva,48.88666666666666,0.0,0.0,0,sin_descuento,App Mobile,Germany,1,TIVA Week,16-25,5,5,1,2025-05-31,31.179999999999996,0.3622
43,236.29999999999998,3,T-Shirts,3,52.949999999999996,Female,Tiva,52.949999999999996,0.0,0.0,0,sin_descuento,App Mobile,Italy,1,Easter Promotion,56-65,4,1,0,2025-04-15,29.53,0.4423
44,125.72,3,Dresses,3,41.29333333333333,Female,Tiva,41.29333333333333,0.0,0.0,0,sin_descuento,E-commerce,France,1,Mid-Season Clearance,16-25,5,2,0,2025-05-14,25.46666666666667,0.3833
46,49.72,3,Shoes,3,33.983333333333334,Female,Tiva,33.983333333333334,0.0,0.0,0,sin_descuento,App Mobile,France,1,Early Summer Deals,36-45,6,5,1,2025-06-14,21.513333333333332,0.3669
52,228.18,3,T-Shirts,3,59.29,Female,Tiva,59.29,0.0,0.0,0,sin_descuento,E-commerce,Germany,1,TIVA Week,16-25,5,2,0,2025-05-21,34.40333333333333,0.4197
53,132.03,3,Sleepwear,2,45.20666666666667,Female,Tiva,45.20666666666667,0.0,0.0,0,sin_descuento,E-commerce,Spain,1,Easter Promotion,56-65,4,0,0,2025-04-14,25.28,0.4408
54,192.92,3,Shoes,2,60.593333333333334,Female,Tiva,60.593333333333334,0.0,0.0,0,sin_descuento,App Mobile,Netherlands,1,TIVA Week,26-35,5,2,0,2025-05-28,30.92,0.4897
55,159.48999999999998,3,Shoes,2,40.64666666666667,Female,Tiva,40.64666666666667,0.0,0.0,0,sin_descuento,E-commerce,France,0,Sin campaña,16-25,4,3,0,2025-04-17,22.233333333333334,0.453
56,144.2,3,Sleepwear,3,41.0,Female,Tiva,41.0,0.0,0.0,0,sin_descuento,App Mobile,Germany,1,TIVA Week,16-25,5,3,0,2025-05-29,22.310000000000002,0.4559
59,212.18,3,Shoes,2,47.54333333333333,Female,Tiva,47.54333333333333,0.0,0.0,0,sin_descuento,E-commerce,Italy,1,Mid-Season Clearance,46-55,5,2,0,2025-05-14,22.843333333333334,0.5195
61,198.35999999999999,3,T-Shirts,3,41.46,Female,Tiva,41.46,0.0,0.0,0,sin_descuento,App Mobile,Germany,1,TIVA Week,26-35,5,0,0,2025-05-26,19.103333333333335,0.5392
63,146.25,3,Pants,3,44.61666666666667,Female,Tiva,44.61666666666667,0.0,0.0,0,sin_descuento,App Mobile,France,1,Mother's Day Campaign,26-35,5,6,1,2025-05-04,29.070000000000004,0.3484
64,181.89000000000001,3,Sleepwear,3,30.26,Female,Tiva,30.26,0.0,0.0,0,sin_descuento,App Mobile,Germany,1,TIVA Week,36-45,5,2,0,2025-05-21,17.19,0.4319
65,147.37,3,Sleepwear,2,55.49666666666667,Female,Tiva,55.49666666666667,0.0,0.0,0,sin_descuento,E-commerce,France,1,June Price Drop,36-45,6,3,0,2025-06-05,31.713333333333335,0.4286
67,207.16,3,Sleepwear,2,38.169999999999995,Female,Tiva,38.169999999999995,0.0,0.0,0,sin_descuento,App Mobile,Netherlands,1,Spring Flash Sale,56-65,4,4,0,2025-04-04,19.043333333333333,0.5011
68,375.53999999999996,3,T-Shirts,3,63.64000000000001,Female,Tiva,63.64000000000001,0.0,0.0,0,sin_descuento,E-commerce,France,1,TIVA Week,16-25,5,4,0,2025-05-23,30.80333333333333,0.516
72,250.26,3,Sleepwear,3,54.00666666666667,Female,Tiva,54.00666666666667,0.0,0.0,0,sin_descuento,E-commerce,France,1,Mid-Season Clearance,36-45,5,0,0,2025-05-19,30.506666666666664,0.4351
73,192.13,3,Sleepwear,3,42.126666666666665,Female,Tiva,42.126666666666665,0.0,0.0,0,sin_descuento,E-commerce,Spain,1,Mid-Season Clearance,16-25,5,0,0,2025-05-19,23.116666666666664,0.4513
75,212.58999999999997,3,Shoes,2,55.406666666666666,Female,Tiva,55.406666666666666,0.0,0.0,0,sin_descuento,App Mobile,Italy,1,TIVA Week,26-35,5,3,0,2025-05-22,31.743333333333336,0.4271
78,256.15,3,Dresses,3,65.24333333333334,Female,Tiva,65.24333333333334,0.0,0.0,0,sin_descuento,E-commerce,Germany,1,Mid-Season Clearance,36-45,5,6,1,2025-05-18,41.49666666666666,0.364
80,159.38,3,Dresses,2,46.70333333333334,Female,Tiva,46.70333333333334,0.0,0.0,0,sin_descuento,E-commerce,France,1,TIVA Week,26-35,5,6,1,2025-05-25,25.41333333333333,0.4559
81,108.71000000000001,3,Pants,3,31.526666666666667,Female,Tiva,45.04,0.3,0.3,1,alto,App Mobile,Germany,1,Mid-Season Clearance,16-25,5,6,1,2025-05-18,23.746666666666666,0.2468
82,327.92,3,T-Shirts,3,53.50666666666666,Female,Tiva,53.50666666666666,0.0,0.0,0,sin_descuento,E-commerce,Netherlands,1,Easter Promotion,26-35,4,0,0,2025-04-14,29.746666666666666,0.4441
84,211.73000000000002,3,Pants,2,47.126666666666665,Female,Tiva,47.126666666666665,0.0,0.0,0,sin_descuento,E-commerce,France,1,Mid-Season Clearance,26-35,5,5,1,2025-05-17,27.50666666666667,0.4163
85,199.92000000000002,3,Sleepwear,3,48.949999999999996,Female,Tiva,48.949999999999996,0.0,0.0,0,sin_descuento,E-commerce,Netherlands,1,Mid-Season Clearance,16-25,5,3,0,2025-05-15,25.683333333333334,0.4753
86,333.73,3,Shoes,3,61.35,Female,Tiva,61.35,0.0,0.0,0,sin_descuento,App Mobile,France,1,Early Summer Deals,16-25,6,6,1,2025-06-15,32.5,0.4703
87,156.12,3,T-Shirts,2,42.51666666666667,Female,Tiva,42.51666666666667,0.0,0.0,0,sin_descuento,E-commerce,Germany,1,Easter Promotion,16-25,4,0,0,2025-04-14,24.616666666666664,0.421
88,233.57,3,Shoes,3,53.093333333333334,Female,Tiva,53.093333333333334,0.0,0.0,0,sin_descuento,App Mobile,France,1,Easter Promotion,36-45,4,6,1,2025-04-13,32.61666666666667,0.3857
89,116.47999999999999,3,T-Shirts,3,53.346666666666664,Female,Tiva,53.346666666666664,0.0,0.0,0,sin_descuento,E-commerce,Germany,0,Sin campaña,56-65,4,4,0,2025-04-25,31.76,0.4046
90,178.14,3,T-Shirts,3,47.47,Female,Tiva,47.47,0.0,0.0,0,sin_descuento,E-commerce,France,1,TIVA Week,36-45,5,0,0,2025-05-26,25.656666666666666,0.4595
92,267.84000000000003,3,T-Shirts,2,57.17666666666667,Female,Tiva,57.17666666666667,0.0,0.0,0,sin_descuento,App Mobile,Italy,1,TIVA Week,46-55,5,4,0,2025-05-30,31.02,0.4575
94,209.1,3,Shoes,3,39.6,Female,Tiva,39.6,0.0,0.0,0,sin_descuento,E-commerce,France,1,Easter Promotion,26-35,4,6,1,2025-04-13,20.143333333333334,0.4913
96,276.83,3,Pants,2,54.623333333333335,Female,Tiva,54.623333333333335,0.0,0.0,0,sin_descuento,E-commerce,France,0,Sin campaña,36-45,4,6,1,2025-04-20,24.679999999999996,0.5482
98,182.68,3,Shoes,2,48.60999999999999,Female,Tiva,48.60999999999999,0.0,0.0,0,sin_descuento,E-commerce,Netherlands,1,TIVA Week,46-55,5,1,0,2025-05-20,28.513333333333335,0.4134
100,275.8,3,Dresses,3,45.403333333333336,Female,Tiva,45.403333333333336,0.0,0.0,0,sin_descuento,App Mobile,Germany,0,Sin campaña,46-55,4,0,0,2025-04-21,27.016666666666666,0.405
102,130.18,3,Sleepwear,3,31.39,Female,Tiva,31.39,0.0,0.0,0,sin_descuento,App Mobile,France,1,Early Summer Deals,56-65,6,5,1,2025-06-14,17.993333333333336,0.4268
103,201.68,3,Sleepwear,3,50.00333333333333,Female,Tiva,50.00333333333333,0.0,0.0,0,sin_descuento,E-commerce,Germany,1,Early Summer Deals,56-65,6,4,0,2025-06-13,28.49666666666667,0.4301
104,199.09,3,Sleepwear,2,51.71333333333333,Female,Tiva,51.71333333333333,0.0,0.0,0,sin_descuento,App Mobile,Spain,0,Sin campaña,56-65,4,6,1,2025-04-20,32.876666666666665,0.3643
106,139.59,3,Shoes,2,47.13666666666666,Female,Tiva,47.13666666666666,0.0,0.0,0,sin_descuento,E-commerce,France,0,Sin campaña,56-65,4,4,0,2025-04-25,24.78,0.4743
108,266.2,3,Shoes,3,43.07333333333333,Female,Tiva,43.07333333333333,0.0,0.0,0,sin_descuento,E-commerce,Germany,1,Mid-Season Clearance,46-55,5,0,0,2025-05-19,25.326666666666668,0.412
112,186.66000000000003,3,Dresses,3,49.52333333333333,Female,Tiva,55.026666666666664,0.10000000000000002,0.1,1,medio,E-commerce,Italy,1,June Price Drop,46-55,6,4,0,2025-06-06,28.78333333333333,0.4188
113,215.32,3,Dresses,3,57.35666666666666,Female,Tiva,57.35666666666666,0.0,0.0,0,sin_descuento,App Mobile,Netherlands,1,TIVA Week,26-35,5,6,1,2025-05-25,29.006666666666664,0.4943
114,97.72999999999999,3,Sleepwear,3,41.67666666666667,Female,Tiva,41.67666666666667,0.0,0.0,0,sin_descuento,App Mobile,Spain,0,Sin campaña,16-25,4,4,0,2025-04-25,26.679999999999996,0.3598
115,89.9,3,Dresses,2,34.17666666666667,Female,Tiva,34.17666666666667,0.0,0.0,0,sin_descuento,App Mobile,Netherlands,1,Mother's Day Campaign,46-55,5,6,1,2025-05-04,15.670000000000002,0.5415
116,91.34,3,Pants,3,49.74666666666667,Female,Tiva,49.74666666666667,0.0,0.0,0,sin_descuento,App Mobile,France,1,Spring Flash Sale,36-45,4,5,1,2025-04-05,26.203333333333333,0.4733
118,351.5,3,T-Shirts,3,56.916666666666664,Female,Tiva,56.916666666666664,0.0,0.0,0,sin_descuento,E-commerce,Italy,1,Mid-Season Clearance,46-55,5,6,1,2025-05-18,31.88,0.4399
120,132.24,3,Dresses,3,43.71,Female,Tiva,48.56666666666666,0.10000000000000002,0.1,1,medio,E-commerce,Germany,1,June Price Drop,56-65,6,4,0,2025-06-06,30.923333333333332,0.2925
121,258.63,3,T-Shirts,3,53.28333333333333,Female,Tiva,53.28333333333333,0.0,0.0,0,sin_descuento,App Mobile,France,0,Sin campaña,46-55,4,4,0,2025-04-25,29.626666666666665,0.444
123,212.2,3,Shoes,3,47.916666666666664,Female,Tiva,47.916666666666664,0.0,0.0,0,sin_descuento,App Mobile,Italy,1,TIVA Week,46-55,5,2,0,2025-05-21,23.406666666666666,0.5115
124,107.74000000000001,3,Shoes,3,41.98666666666667,Female,Tiva,41.98666666666667,0.0,0.0,0,sin_descuento,E-commerce,Spain,0,Sin campaña,36-45,4,5,1,2025-04-19,23.419999999999998,0.4422
125,170.61,3,Pants,2,49.403333333333336,Female,Tiva,49.403333333333336,0.0,0.0,0,sin_descuento,App Mobile,Germany,1,Mother's Day Campaign,56-65,5,1,0,2025-05-06,26.596666666666664,0.4616
126,196.37,3,Shoes,2,45.64333333333334,Female,Tiva,45.64333333333334,0.0,0.0,0,sin_descuento,E-commerce,Germany,1,Mid-Season Clearance,56-65,5,3,0,2025-05-15,27.36,0.4006
127,258.13,3,Shoes,3,56.85,Female,Tiva,56.85,0.0,0.0,0,sin_descuento,App Mobile,Germany,1,Easter Promotion,56-65,4,6,1,2025-04-13,32.12,0.435
128,125.04,3,T-Shirts,3,49.74333333333333,Female,Tiva,49.74333333333333,0.0,0.0,0,sin_descuento,E-commerce,Germany,0,Sin campaña,56-65,4,5,1,2025-04-19,26.703333333333333,0.4632
129,232.17000000000002,3,Shoes,3,49.623333333333335,Female,Tiva,49.623333333333335,0.0,0.0,0,sin_descuento,App Mobile,Germany,1,TIVA Week,46-55,5,0,0,2025-05-26,23.616666666666664,0.5241
130,285.02,3,Pants,2,46.60333333333333,Female,Tiva,46.60333333333333,0.0,0.0,0,sin_descuento,App Mobile,Portugal,1,Spring Flash Sale,56-65,4,5,1,2025-04-05,22.436666666666667,0.5186
131,336.28,3,Dresses,3,59.95333333333334,Female,Tiva,59.95333333333334,0.0,0.0,0,sin_descuento,E-commerce,Netherlands,0,Sin campaña,16-25,4,1,0,2025-04-22,28.16333333333333,0.5302
132,147.64,3,Sleepwear,2,40.766666666666666,Female,Tiva,40.766666666666666,0.0,0.0,0,sin_descuento,App Mobile,Germany,0,Sin campaña,36-45,4,6,1,2025-04-20,25.863333333333333,0.3656
133,222.27999999999997,3,Dresses,2,45.24,Female,Tiva,45.24,0.0,0.0,0,sin_descuento,App Mobile,Spain,1,Early Summer Deals,16-25,6,5,1,2025-06-14,24.38,0.4611
135,267.97,3,Dresses,3,56.870000000000005,Female,Tiva,56.870000000000005,0.0,0.0,0,sin_descuento,E-commerce,France,1,Mid-Season Clearance,36-45,5,3,0,2025-05-15,35.21333333333333,0.3808
136,164.52,3,T-Shirts,3,39.71,Female,Tiva,39.71,0.0,0.0,0,sin_descuento,E-commerce,Spain,1,Early Summer Deals,36-45,6,5,1,2025-06-14,21.429999999999996,0.4603
138,133.6,3,Sleepwear,3,45.77333333333333,Female,Tiva,45.77333333333333,0.0,0.0,0,sin_descuento,E-commerce,Germany,1,Early Summer Deals,36-45,6,5,1,2025-06-14,29.876666666666665,0.3473
139,328.82,3,Pants,2,56.11666666666667,Female,Tiva,56.11666666666667,0.0,0.0,0,sin_descuento,App Mobile,France,1,TIVA Week,16-25,5,2,0,2025-05-21,26.61666666666667,0.5257
141,323.59999999999997,3,Sleepwear,3,53.79,Female,Tiva,53.79,0.0,0.0,0,sin_descuento,E-commerce,Portugal,1,Early Summer Deals,26-35,6,6,1,2025-06-15,25.83,0.5198
142,178.04000000000002,3,T-Shirts,2,58.18333333333334,Female,Tiva,58.18333333333334,0.0,0.0,0,sin_descuento,E-commerce,Spain,1,TIVA Week,56-65,5,6,1,2025-05-25,32.39333333333334,0.4433
143,140.44,3,Dresses,3,35.38,Female,Tiva,35.38,0.0,0.0,0,sin_descuento,E-commerce,Portugal,1,Early Summer Deals,46-55,6,0,0,2025-06-16,18.48,0.4777
144,136.7,3,T-Shirts,2,46.75333333333333,Female,Tiva,46.75333333333333,0.0,0.0,0,sin_descuento,App Mobile,Germany,0,Sin campaña,56-65,4,6,1,2025-04-20,24.456666666666667,0.4769
145,154.2,3,Sleepwear,3,38.873333333333335,Female,Tiva,38.873333333333335,0.0,0.0,0,sin_descuento,E-commerce,France,1,TIVA Week,36-45,5,1,0,2025-05-20,23.52,0.395
146,162.51999999999998,3,Shoes,3,46.673333333333325,Female,Tiva,46.673333333333325,0.0,0.0,0,sin_descuento,E-commerce,Germany,1,Easter Promotion,36-45,4,1,0,2025-04-15,22.51,0.5177
